序号,rms,flux_normalized,dominant_bins,centroid,low_high_ratio,peak_count,,,,,,,,,,,,,
88,196.16,3.04,34,2170,0.69,16,,,,,,,,,,,,,
89,1312.62,395.52,17,1363.3,0.54,6,,,,,,,,,,,,,
90,760.17,30.88,26,1579.6,0.58,10,,,,,,,,,,,,,
91,646.99,8.58,15,1644.7,0.64,8,,,,,,,,,,,,,
92,577.95,89.37,17,1663.5,0.64,10,,,,,,,,,,,,,
93,237.11,49.93,45,1759.3,1.1,15,,,,,,,,,,,,,
94,166.08,4.27,46,1864.5,0.8,20,,,,,,,,,,,,,
95,349.82,11.35,32,1332.7,1.01,16,,,,,,,,,,,,,
96,380.68,22.11,33,1087.7,1.17,14,,,,,,,,,,,,,
97,323.81,13.2,38,1196.7,1.18,18,,,,,,,,,,,,,
98,143.78,3.43,58,1474.7,1.05,29,,,,,,,,,,,,,
99,236.01,8.08,78,2930.9,0.39,30,,,,,,,,,,,,,
100,350.64,27.87,24,1530.8,1.73,8,,,,,,,,,,,,,
101,197.87,22.62,34,2958.8,0.62,11,,,,,,,,,,,,,
102,172.93,4.24,33,2221.1,0.9,13,,,,,,,,,,,,,
103,479.71,5.98,17,1312,1.6,8,,,,,,,,,,,,,
104,206.71,4.47,56,2929.3,0.5,24,,,,,,,,,,,,,
105,151.57,3.11,54,2572.4,0.61,17,,,,,,,,,,,,,
106,328.51,51.82,47,2271,0.79,21,,,,,,,,,,,,,
107,591.25,64.09,37,1061.9,1.64,18,,,,,,,,,,,,,
108,535.13,41.24,32,1144.6,1.56,10,,,,,,,,,,,,,
109,518.96,67.42,31,1089.3,1.71,17,,,,,,,,,,,,,
110,596.16,46.99,28,975.8,1.38,12,,,,,,,,,,,,,
111,947.54,92.42,19,1198.4,0.76,8,,,,,,,,,,,,,
112,590.62,92.17,63,1330.7,1,25,,,,,,,,,,,,,
113,795.38,27.95,36,1543.2,0.61,16,,,,,,,,,,,,,
114,822.42,66.62,20,1601.2,0.62,11,,,,,,,,,,,,,
115,593.41,49.99,38,1199.5,1.01,14,,,,,,,,,,,,,
116,642.75,59.21,33,1097.6,1.37,11,,,,,,,,,,,,,
117,329.04,20.17,36,1044.2,2.28,14,,,,,,,,,,,,,
118,152.62,10.21,32,1649.6,1.9,12,,,,,,,,,,,,,
119,156.51,3.89,53,1927.3,1.21,19,,,,,,,,,,,,,
120,279,15.14,30,2470.8,0.83,12,,,,,,,,,,,,,
121,460.33,31.87,23,1324.4,1.24,12,,,,,,,,,,,,,
122,907.74,164.52,19,1523.7,0.85,10,,,,,,,,,,,,,
123,903.98,88.73,22,1494.7,0.77,11,,,,,,,,,,,,,
124,505.93,27.23,19,1453.1,1.51,8,,,,,,,,,,,,,
125,436.07,17.26,29,1369,1.67,12,,,,,,,,,,,,,
126,539.3,22.8,34,1207,1.18,16,,,,,,,,,,,,,
127,756.32,23.96,21,1196.7,0.75,10,,,,,,,,,,,,,
128,634.82,50.21,31,1222.9,1.42,9,,,,,,,,,,,,,
129,513.36,34.87,35,935.5,1.5,16,,,,,,,,,,,,,
130,611.3,31.43,28,1304.6,1.39,16,,,,,,,,,,,,,
131,708.35,67,43,1380.4,1.03,26,,,,,,,,,,,,,
132,607.62,31.25,32,1164.4,1.86,16,,,,,,,,,,,,,
133,178.7,8.93,60,2176.3,0.78,29,,,,,,,,,,,,,
134,350.92,17.76,34,2109.2,0.98,14,,,,,,,,,,,,,
135,476.43,44.46,67,1578.8,0.7,32,,,,,,,,,,,,,
136,293.91,5.63,9,2245.2,0.88,3,,,,,,,,,,,,,
137,272.29,4.74,30,2361.7,0.71,9,,,,,,,,,,,,,
138,314.33,23.68,22,2223.1,0.92,10,,,,,,,,,,,,,
139,378.19,20.6,13,1935.2,1.13,5,,,,,,,,,,,,,
140,264.03,8.38,38,2338.4,0.8,17,,,,,,,,,,,,,
141,356.37,9.18,16,1967,1.04,5,,,,,,,,,,,,,
142,375.83,27.41,16,2134.1,1,5,,,,,,,,,,,,,
143,395.5,18.54,15,1499.6,1.12,7,,,,,,,,,,,,,
144,593,52.67,21,1356.2,1.83,8,,,,,,,,,,,,,
145,502.93,44.64,35,1169.6,2.11,14,,,,,,,,,,,,,
146,499.21,59.38,47,1213.4,1.53,16,,,,,,,,,,,,,
147,834.51,111,17,1341,1.41,11,,,,,,,,,,,,,
148,740.97,70.14,17,1350.5,1.27,9,,,,,,,,,,,,,
149,386.24,29.2,38,1050.1,2.45,11,,,,,,,,,,,,,
150,360.43,19.11,21,1818.9,1.34,11,,,,,,,,,,,,,
151,345.58,21.38,25,1725.3,1.49,14,,,,,,,,,,,,,
152,299.01,10.33,24,1934,1.28,8,,,,,,,,,,,,,
153,572.89,45.34,55,1409.5,0.79,25,,,,,,,,,,,,,
154,703.17,55.56,33,1299,1.01,15,,,,,,,,,,,,,
155,544.74,15.63,43,1224.1,1.13,18,,,,,,,,,,,,,
156,798.43,79.88,37,1064.9,1.82,16,,,,,,,,,,,,,
157,319.99,6.14,15,2312.9,0.97,5,,,,,,,,,,,,,
158,713.55,38.21,33,1363,0.84,17,,,,,,,,,,,,,
159,676.24,33.52,23,1237.9,1.09,12,,,,,,,,,,,,,
160,672.94,68.16,28,1327.9,1.13,11,,,,,,,,,,,,,
161,692.81,24.09,31,1298.5,1.36,14,,,,,,,,,,,,,
162,599.54,53.11,32,1412.4,1.17,17,,,,,,,,,,,,,
163,848.51,77.92,44,1050.2,1.63,20,,,,,,,,,,,,,
164,564.5,43.56,44,933,2.2,17,,,,,,,,,,,,,
165,601.1,43.78,47,1267.9,1.26,19,,,,,,,,,,,,,
166,574.76,38.44,19,1458.8,1,9,,,,,,,,,,,,,
167,624.25,46.81,32,1486.6,1.04,16,,,,,,,,,,,,,
168,559.85,25.45,32,1165.9,1.5,18,,,,,,,,,,,,,
169,398.41,10.57,30,1338.2,1.72,13,,,,,,,,,,,,,
170,464.09,6.41,38,1223.9,1.68,15,,,,,,,,,,,,,
171,538.61,26.3,31,1082.4,1.73,13,,,,,,,,,,,,,
172,431.47,12.72,51,1416.4,1.35,21,,,,,,,,,,,,,
173,482.96,25.79,33,1296.4,1.36,15,,,,,,,,,,,,,
174,470.86,30.25,40,1356.4,1.42,15,,,,,,,,,,,,,
175,448.79,38.96,75,1889.5,0.67,39,,,,,,,,,,,,,
176,449.85,25.36,23,1487,1.24,9,,,,,,,,,,,,,
177,418.58,24.21,36,1251.3,1.6,16,,,,,,,,,,,,,
178,337.6,14.42,25,1250.7,1.28,13,,,,,,,,,,,,,
179,450.24,18.33,37,1522,1.17,18,,,,,,,,,,,,,
180,416.03,5.99,24,1325.6,1.69,11,,,,,,,,,,,,,
181,455.01,18.64,34,1344.7,1.44,15,,,,,,,,,,,,,
182,598.16,45.78,42,1172.1,1.69,21,,,,,,,,,,,,,
183,523.61,30.47,51,1193.9,1.42,24,,,,,,,,,,,,,
184,836.02,93.61,20,1415.3,0.65,12,,,,,,,,,,,,,
185,805.1,47.01,18,1479.7,0.54,8,,,,,,,,,,,,,
186,900.2,27.82,17,1440.7,0.58,7,,,,,,,,,,,,,
187,996.87,60.68,23,1557.2,0.52,8,,,,,,,,,,,,,
188,922.49,128.86,27,1203.3,0.82,14,,,,,,,,,,,,,
189,892.39,101.11,24,1070.4,0.89,13,,,,,,,,,,,,,
190,858.77,37.19,21,1416.3,0.75,8,,,,,,,,,,,,,
191,842.55,110.46,23,1261.1,0.89,15,,,,,,,,,,,,,
192,625.52,100.59,45,1225.1,1.05,17,,,,,,,,,,,,,
193,498.51,42.51,37,939.2,1.72,16,,,,,,,,,,,,,
194,423.41,27.23,37,982.3,1.88,17,,,,,,,,,,,,,
195,584.48,35.63,24,1262.5,1.11,10,,,,,,,,,,,,,
196,595.39,54.48,34,1042.8,1.42,14,,,,,,,,,,,,,
197,765.29,34.68,28,1035.8,1.63,8,,,,,,,,,,,,,
198,803.06,26.79,34,1088.5,1.32,13,,,,,,,,,,,,,
199,654.76,161.46,22,1852,0.62,11,,,,,,,,,,,,,
200,602.3,46.51,26,1477.6,1.1,12,,,,,,,,,,,,,
201,481.49,27.42,33,1449.6,1.39,18,,,,,,,,,,,,,
202,546.14,28.96,36,1169,1.88,17,,,,,,,,,,,,,
203,429.58,25.81,37,1613.3,0.98,16,,,,,,,,,,,,,
204,443.75,14.97,30,1125.7,1.74,16,,,,,,,,,,,,,
205,322.17,20.84,30,1319.8,1.59,16,,,,,,,,,,,,,
206,546.17,42.55,30,1142.7,1.79,17,,,,,,,,,,,,,
207,561.64,32.08,39,1291.7,1.29,17,,,,,,,,,,,,,
208,467.29,42.49,48,891.8,1.97,24,,,,,,,,,,,,,
209,568.28,55.54,35,1173.6,1.86,19,,,,,,,,,,,,,
210,559.97,64.56,35,1017.4,1.5,20,,,,,,,,,,,,,
211,606.73,53.02,44,934.5,1.75,22,,,,,,,,,,,,,
212,807.31,47.34,29,1603.1,0.79,12,,,,,,,,,,,,,
213,757.59,21.87,26,1524.8,0.79,11,,,,,,,,,,,,,
214,448.16,30.67,34,1400,1.08,12,,,,,,,,,,,,,
215,526.9,19.52,29,1420.9,0.95,11,,,,,,,,,,,,,
216,816.28,29.2,19,1179.3,0.97,7,,,,,,,,,,,,,
217,632.37,75.24,33,1185.1,1.08,14,,,,,,,,,,,,,
218,488.7,29.31,34,963.3,2.38,15,,,,,,,,,,,,,
219,536.75,31.57,28,1003.2,2.05,15,,,,,,,,,,,,,
220,652.83,62.89,24,1025.8,2.34,11,,,,,,,,,,,,,
221,586.91,26.51,25,1529.2,1.4,11,,,,,,,,,,,,,
222,550.88,24.88,25,1210,1.35,14,,,,,,,,,,,,,
223,459.11,28.34,95,1694.6,0.71,44,,,,,,,,,,,,,
224,395.03,10.6,38,1204.6,1.6,15,,,,,,,,,,,,,
225,477.1,23.69,32,1336.5,1.19,15,,,,,,,,,,,,,
226,240.75,20.16,37,1455.1,1.62,17,,,,,,,,,,,,,
227,514.88,18.52,30,1568.1,1.19,16,,,,,,,,,,,,,
228,434.98,11.46,22,1092,3.29,6,,,,,,,,,,,,,
229,347.16,14.3,17,1281.4,2.48,6,,,,,,,,,,,,,
230,573.41,45.84,20,1152.1,3.02,7,,,,,,,,,,,,,
231,648.9,28.14,20,1054.6,3.24,7,,,,,,,,,,,,,
232,568.58,18.16,18,1017.9,3.39,8,,,,,,,,,,,,,
233,678.63,12.76,22,852.4,4.25,8,,,,,,,,,,,,,
234,630.66,62.07,15,1485.7,1.48,4,,,,,,,,,,,,,
235,606.51,18.38,22,1040.2,3.34,7,,,,,,,,,,,,,
236,515.76,26.29,14,1035.7,3.27,6,,,,,,,,,,,,,
237,600.41,8.09,17,929.8,3.53,3,,,,,,,,,,,,,
238,655.19,106.72,16,1393.8,1.95,10,,,,,,,,,,,,,
239,604.36,44.27,20,1054.7,2.95,10,,,,,,,,,,,,,
240,772.99,143.36,37,1454.8,0.57,16,,,,,,,,,,,,,
241,290.17,16.75,41,1682.1,1.38,17,,,,,,,,,,,,,
242,368.96,28.96,47,1094.5,1.49,19,,,,,,,,,,,,,
243,367.67,37.34,28,1205.6,1.56,14,,,,,,,,,,,,,
244,275.33,15.25,44,1573.3,1.25,20,,,,,,,,,,,,,
245,361.93,20.37,71,1151.4,1.42,34,,,,,,,,,,,,,
246,333.14,15.6,43,1101.1,1.93,19,,,,,,,,,,,,,
247,482.2,14.24,36,924.5,1.8,21,,,,,,,,,,,,,
248,478.61,31.64,41,1107.8,1.78,21,,,,,,,,,,,,,
249,247.39,4.71,37,1637,1.85,16,,,,,,,,,,,,,
250,347.1,14.66,46,1476.9,1.03,13,,,,,,,,,,,,,
251,394,31.09,46,1366.2,1.46,21,,,,,,,,,,,,,
252,415.69,22.06,45,881.7,2.06,18,,,,,,,,,,,,,
253,354.97,26.83,30,1234.1,1.85,14,,,,,,,,,,,,,
254,342.5,17.73,25,1477.5,1.25,11,,,,,,,,,,,,,
255,321.87,10.66,34,1061.3,2.46,15,,,,,,,,,,,,,
256,492.5,43.46,40,1222,1.58,17,,,,,,,,,,,,,
257,474.44,20.84,49,1011.2,2,22,,,,,,,,,,,,,
258,434.71,13.88,35,1014.6,1.88,17,,,,,,,,,,,,,
259,410.96,22.48,37,900.2,2.57,23,,,,,,,,,,,,,
260,524.5,33.77,42,920.7,1.89,18,,,,,,,,,,,,,
261,425.47,26.57,58,1371.2,1.29,31,,,,,,,,,,,,,
262,431.06,29.8,54,942.2,2.34,25,,,,,,,,,,,,,
263,383.4,28.12,48,1210.3,1.68,23,,,,,,,,,,,,,
264,418.87,24.29,51,1381.6,1.67,21,,,,,,,,,,,,,
265,514.55,18.86,42,1065.6,2,20,,,,,,,,,,,,,
266,528.05,39.81,39,1181.9,1.5,21,,,,,,,,,,,,,
267,351.56,15.54,57,900.2,2.09,26,,,,,,,,,,,,,
268,461.37,22.27,52,883.3,2.17,24,,,,,,,,,,,,,
269,521.02,51.89,53,1057.5,1.88,21,,,,,,,,,,,,,
270,418.15,31.14,60,1336.7,1.42,27,,,,,,,,,,,,,
